,Card 1,Card 2,Card 3,sums
144,2,7,8,17
145,5,10,1,16
146,10,9,10,29
147,10,3,7,20
148,9,5,6,20
149,10,3,10,23
150,5,9,4,18
151,9,8,6,23
152,7,4,2,13
153,2,3,8,13
154,1,4,4,9
155,3,10,10,23
156,10,6,2,18
157,6,7,10,23
158,8,5,1,14
159,1,10,10,21
160,3,4,10,17
161,3,10,7,20
162,2,10,1,13
163,4,10,2,16
164,9,4,10,23
165,10,6,8,24
166,5,1,10,16
167,6,5,10,21
168,10,9,8,27
169,8,5,4,17
170,8,3,9,20
171,2,10,6,18
172,7,7,7,21
173,1,10,10,21
174,5,1,2,8
175,6,9,3,18
176,5,10,6,21
177,5,2,4,11
178,1,2,7,10
179,2,6,3,11
180,7,8,9,24
181,2,6,10,18
182,1,8,5,14
183,3,10,6,19
184,3,10,7,20
185,4,10,10,24
186,9,5,4,18
187,10,10,8,28
188,10,9,7,26
189,10,10,9,29
190,3,10,1,14
191,8,4,1,13
192,5,1,6,12
193,2,3,10,15
194,8,8,4,20
195,1,3,6,10
196,10,10,7,27
197,3,10,10,23
198,9,7,10,26
199,4,10,10,24
200,4,8,9,21
201,5,6,2,13
202,9,10,6,25
203,10,10,7,27
204,2,1,1,4
205,8,9,5,22
206,4,3,7,14
207,10,2,5,17
208,9,2,10,21
209,10,4,6,20
210,10,8,3,21
211,8,3,7,18
212,10,10,2,22
213,5,1,3,9
214,10,9,10,29
215,2,1,10,13
216,10,10,1,21
217,6,1,5,12
218,9,4,10,23
219,2,3,7,12
220,7,8,9,24
221,10,4,8,22
222,7,5,6,18
223,6,4,5,15
224,10,7,3,20
225,2,10,4,16
226,10,6,8,24
227,3,8,7,18
228,5,10,3,18
229,5,9,10,24
230,4,9,5,18
231,2,2,7,11
232,10,3,1,14
233,4,10,6,20
234,9,9,1,19
235,7,10,6,23
236,5,4,2,11
237,8,1,10,19
238,1,10,6,17
239,10,8,10,28
240,7,3,7,17
241,10,3,10,23
242,4,1,8,13
243,5,6,8,19
244,10,5,4,19
245,10,10,3,23
246,5,4,6,15
247,2,9,3,14
248,2,6,10,18
249,7,2,10,19
250,10,4,8,22
251,1,5,1,7
252,7,6,1,14
253,10,10,9,29
254,9,2,8,19
255,10,10,9,29
256,7,6,6,19
257,1,10,4,15
258,4,6,3,13
259,10,10,10,30
260,7,2,3,12
261,1,10,10,21
262,7,9,10,26
263,4,5,10,19
264,10,10,9,29
265,5,5,1,11
266,2,5,9,16
267,9,3,3,15
268,6,10,8,24
269,8,7,4,19
270,2,1,8,11
271,8,10,2,20
272,3,1,7,11
273,10,7,9,26
274,3,6,3,12
275,5,10,4,19
276,10,1,9,20
277,9,5,4,18
278,1,9,6,16
279,2,8,1,11
280,10,10,7,27
281,10,6,4,20
282,10,10,8,28
283,7,5,4,16
284,10,8,10,28
285,2,2,3,7
286,8,5,6,19
287,10,10,2,22
288,10,5,6,21
289,7,5,7,19
290,1,9,6,16
291,5,1,4,10
292,8,10,6,24
293,4,10,8,22
294,10,10,6,26
295,2,7,9,18
296,5,4,3,12
297,10,8,2,20
298,1,10,2,13
299,8,4,7,19
300,3,10,1,14
301,3,10,9,22
302,10,2,10,22
303,10,3,9,22
304,2,3,6,11
305,1,10,9,20
306,5,9,1,15
307,8,3,8,19
308,5,4,10,19
309,3,5,10,18
310,10,9,9,28
311,10,7,10,27
312,10,1,6,17
313,2,2,10,14
314,10,6,4,20
315,7,7,6,20
316,3,1,10,14
317,10,5,10,25
318,8,4,7,19
319,2,4,8,14
320,10,10,3,23
321,1,10,2,13
322,6,1,3,10
323,4,1,5,10
324,2,10,4,16
325,10,7,7,24
326,6,9,8,23
327,6,3,9,18
328,10,3,5,18
329,10,8,6,24
330,7,10,9,26
331,10,10,8,28
332,1,8,9,18
333,7,4,5,16
334,4,10,5,19
335,2,2,10,14
336,7,10,8,25
337,3,4,6,13
338,10,8,9,27
339,4,7,8,19
340,2,3,1,6
341,10,7,9,26
342,10,10,2,22
343,10,10,1,21
344,6,10,5,21
345,2,5,1,8
346,10,10,6,26
347,3,5,4,12
348,10,7,8,25
349,3,6,4,13
350,9,9,1,19
351,2,10,5,17
352,7,3,6,16
353,10,2,1,13
354,3,2,10,15
355,5,10,9,24
356,8,4,2,14
357,1,3,10,14
358,10,1,4,15
359,10,8,6,24
360,9,7,7,23
361,4,5,5,14
362,10,1,10,21
363,6,5,8,19
364,3,10,8,21
365,2,4,9,15
366,7,9,10,26
367,10,6,10,26
368,2,3,7,12
369,2,10,8,20
370,5,6,10,21
371,9,8,8,25
372,6,6,10,22
373,5,1,7,13
374,9,10,3,22
375,10,5,10,25
376,10,1,8,19
377,10,6,10,26
378,9,9,4,22
379,7,4,7,18
380,10,3,4,17
381,10,2,5,17
382,3,2,10,15
383,4,1,1,6
384,6,10,8,24
385,5,7,10,22
386,8,5,10,23
387,4,7,10,21
388,10,3,10,23
389,7,2,1,10
390,10,7,8,25
391,6,1,9,16
392,10,9,4,23
393,2,9,1,12
394,5,4,3,12
395,10,10,10,30
396,2,6,6,14
397,10,4,8,22
398,9,1,3,13
399,2,3,5,10
400,1,5,9,15
401,10,2,4,16
402,9,9,9,27
403,3,8,6,17
404,7,2,4,13
405,2,10,4,16
406,10,7,10,27
407,6,7,10,23
408,4,5,1,10
409,10,10,3,23
410,7,10,5,22
411,10,8,3,21
412,6,10,6,22
413,10,2,1,13
414,8,1,5,14
415,10,3,8,21
416,8,9,8,25
417,10,4,3,17
418,9,2,10,21
419,9,3,7,19
420,4,10,5,19
421,7,10,6,23
422,8,4,5,17
423,10,1,7,18
424,5,5,10,20
425,1,10,10,21
426,9,10,2,21
427,8,2,10,20
428,7,6,3,16
429,10,6,6,22
430,10,1,3,14
431,1,2,4,7
432,4,2,10,16
433,10,4,5,19
434,2,10,6,18
435,8,1,5,14
436,10,9,7,26
437,9,3,9,21
438,10,6,3,19
439,10,4,7,21
440,6,4,7,17
441,1,1,10,12
442,5,10,6,21
443,1,3,8,12
444,10,10,10,30
445,8,2,9,19
446,5,3,10,18
447,8,2,7,17
448,6,8,10,24
449,10,7,9,26
450,2,6,9,17
451,10,4,7,21
452,3,7,9,19
453,10,7,10,27
454,4,8,4,16
455,6,3,8,17
456,5,5,1,11
457,2,3,6,11
458,1,10,2,13
459,5,10,3,18
460,10,4,10,24
461,10,5,10,25
462,9,8,1,18
463,2,1,10,13
464,8,2,10,20
465,4,2,10,16
466,4,5,10,19
467,1,7,3,11
468,9,10,3,22
469,7,10,2,19
470,10,6,2,18
471,10,6,1,17
472,9,7,10,26
473,3,4,1,8
474,5,9,10,24
475,6,9,1,16
476,10,3,6,19
477,5,5,4,14
478,10,8,10,28
479,7,8,8,23
480,4,2,8,14
481,8,7,1,16
482,3,6,10,19
483,10,10,10,30
484,4,10,3,17
485,2,5,5,12
486,5,1,2,8
487,5,9,3,17
488,9,4,7,20
489,10,9,1,20
490,10,6,10,26
491,3,6,4,13
492,8,10,2,20
493,1,9,10,20
494,10,7,7,24
495,8,6,10,24
496,3,1,6,10
497,1,6,10,17
498,1,2,7,10
499,2,5,2,9
500,4,10,10,24
501,9,5,10,24
502,6,4,9,19
503,8,5,9,22
504,8,8,5,21
505,2,10,8,20
506,3,7,10,20
507,4,6,10,20
508,10,9,10,29
509,7,3,4,14
510,1,10,7,18
511,10,3,10,23
512,6,10,8,24
513,10,8,10,28
514,5,8,8,21
515,1,10,1,12
516,4,4,5,13
517,7,1,10,18
518,6,3,10,19
519,9,10,4,23
520,9,7,1,17
521,10,9,5,24
522,3,2,10,15
523,7,2,6,15
524,10,6,2,18
525,10,7,3,20
526,9,10,2,21
527,3,4,5,12
528,8,1,10,19
529,10,3,6,19
530,10,10,3,23
531,2,3,7,12
532,10,1,4,15
533,5,5,6,16
534,4,7,9,20
535,10,7,3,20
536,9,1,4,14
537,4,7,1,12
538,8,10,6,24
539,8,10,10,28
540,10,2,10,22
541,10,9,8,27
542,9,5,6,20
543,2,2,5,9
544,7,10,10,27
545,6,9,7,22
546,10,3,4,17
547,5,10,7,22
548,2,8,4,14
549,10,3,10,23
550,9,10,10,29
551,6,5,1,12
552,3,2,10,15
553,5,1,6,12
554,2,5,6,13
555,10,8,1,19
556,9,4,8,21
557,10,2,8,20
558,1,3,7,11
559,9,10,4,23
560,10,3,1,14
561,6,10,4,20
562,9,1,9,19
563,3,6,4,13
564,2,2,10,14
565,7,10,1,18
566,10,8,5,23
567,5,3,6,14
568,7,5,9,21
569,10,10,8,28
570,5,2,10,17
571,7,3,2,12
572,10,8,1,19
573,7,10,4,21
574,10,10,9,29
575,8,4,6,18
576,10,8,3,21
577,7,5,10,22
578,6,1,2,9
579,5,9,10,24
580,10,1,9,20
581,10,3,10,23
582,6,4,2,12
583,3,8,1,12
584,4,5,10,19
585,6,10,10,26
586,4,2,2,8
587,9,8,7,24
588,8,7,4,19
589,3,1,10,14
590,6,10,10,26
591,9,7,5,21
592,10,10,8,28
593,10,6,9,25
594,4,5,1,10
595,10,1,2,13
596,4,6,10,20
597,2,8,5,15
598,8,10,6,24
599,9,7,1,17
600,10,10,10,30
601,10,3,2,15
602,9,10,7,26
603,3,4,9,16
604,3,8,4,15
605,7,5,3,15
606,2,10,5,17
607,1,7,6,14
608,10,3,7,20
609,10,3,1,14
610,10,1,8,19
611,9,3,5,17
612,7,4,10,21
613,1,9,9,19
614,10,5,1,16
615,2,2,10,14
616,4,7,6,17
617,8,5,10,23
618,8,6,2,16
619,7,6,10,23
620,6,9,5,20
621,8,3,10,21
622,4,10,4,18
623,2,10,10,22
624,3,7,1,11
625,9,10,3,22
626,4,2,5,11
627,6,9,4,19
628,3,7,1,11
629,2,10,6,18
630,10,2,10,22
631,5,10,10,25
632,9,8,6,23
633,10,2,8,20
634,6,8,5,19
635,4,9,10,23
636,7,1,1,9
637,5,10,4,19
638,10,10,8,28
639,3,7,10,20
640,5,5,2,12
641,6,1,4,11
642,2,3,9,14
643,3,10,1,14
644,10,1,3,14
645,8,10,4,22
646,7,4,7,18
647,10,10,4,24
648,8,2,7,17
649,2,9,6,17
650,8,9,10,27
651,6,8,5,19
652,10,10,7,27
653,1,10,10,21
654,10,3,10,23
655,9,6,5,20
656,1,5,6,12
657,5,7,3,15
658,2,4,10,16
659,10,9,10,29
660,1,10,3,14
661,3,2,8,13
662,10,2,2,14
663,10,10,8,28
664,7,10,9,26
665,10,1,10,21
666,9,9,5,23
667,6,6,4,16
668,10,1,7,18
669,8,6,8,22
670,4,10,4,18
671,3,5,7,15
672,4,6,10,20
673,4,5,10,19
674,8,1,2,11
675,1,6,10,17
676,7,10,1,18
677,2,3,7,12
678,7,5,2,14
679,3,5,10,18
680,10,6,9,25
681,9,4,4,17
682,5,10,8,23
683,7,10,10,27
684,10,9,10,29
685,3,3,9,15
686,10,8,6,24
687,8,2,1,11
688,6,10,5,21
689,10,10,5,25
690,2,3,3,8
691,10,1,10,21
692,5,6,3,14
693,8,7,2,17
694,8,10,2,20
695,7,6,10,23
696,9,10,4,23
697,4,1,9,14
698,3,4,9,16
699,10,4,5,19
700,6,9,7,22
701,1,10,8,19
702,2,10,7,19
703,8,1,10,19
704,10,10,8,28
705,8,6,1,15
706,10,4,2,16
707,5,2,3,10
708,10,10,5,25
709,9,10,8,27
710,10,5,7,22
711,8,3,4,15
712,10,6,9,25
713,1,4,2,7
714,10,3,4,17
715,1,10,6,17
716,3,10,6,19
717,7,1,7,15
718,9,10,5,24
719,7,2,9,18
720,10,10,7,27
721,8,10,1,19
722,1,3,10,14
723,2,2,9,13
724,8,7,6,21
725,10,2,5,17
726,9,1,9,19
727,6,5,4,15
728,7,7,8,22
729,2,10,10,22
730,4,3,5,12
731,6,4,3,13
732,10,8,10,28
733,6,4,3,13
734,10,1,9,20
735,10,5,10,25
736,3,5,5,13
737,3,5,8,16
738,2,10,4,16
739,1,10,8,19
740,10,6,7,23
741,1,4,10,15
742,9,4,10,23
743,9,6,6,21
744,2,2,10,14
745,9,6,10,25
746,2,5,7,14
747,4,10,10,24
748,10,8,7,25
749,10,3,1,14
750,7,3,10,20
751,8,9,1,18
752,7,2,8,17
753,10,8,1,19
754,10,10,3,23
755,9,2,9,20
756,7,8,10,25
757,2,6,5,13
758,10,9,9,28
759,6,6,10,22
760,5,4,10,19
761,3,10,1,14
762,10,4,3,17
763,4,10,5,19
764,6,4,1,11
765,5,7,2,14
766,7,3,1,11
767,10,8,10,28
768,6,4,1,11
769,5,6,10,21
770,10,7,6,23
771,3,10,9,22
772,10,2,8,20
773,6,1,9,16
774,7,3,5,15
775,10,2,10,22
776,10,10,4,24
777,2,4,7,13
778,7,1,9,17
779,10,4,8,22
780,5,9,2,16
781,10,3,8,21
782,10,10,5,25
783,1,8,3,12
784,6,10,10,26
785,2,8,1,11
786,7,10,5,22
787,8,1,6,15
788,4,9,7,20
789,9,4,5,18
790,9,10,1,20
791,10,6,3,19
792,1,2,10,13
793,6,7,8,21
794,10,8,10,28
795,5,3,2,10
796,10,10,4,24
797,10,4,5,19
798,10,7,3,20
799,9,3,2,14
800,9,10,4,23
801,3,3,8,14
802,9,10,10,29
803,4,6,2,12
804,10,10,3,23
805,10,1,5,16
806,10,8,8,26
807,6,4,7,17
808,7,9,9,25
809,5,2,2,9
810,1,10,1,12
811,10,4,8,22
812,10,2,7,19
813,3,1,5,9
814,7,6,5,18
815,10,6,10,26
816,1,6,7,14
817,3,10,8,21
818,5,1,8,14
819,10,3,2,15
820,5,6,7,18
821,10,2,10,22
822,9,10,2,21
823,7,10,10,27
824,4,3,9,16
825,4,5,3,12
826,6,10,2,18
827,4,1,4,9
828,10,9,8,27
829,7,5,8,20
830,9,6,10,25
831,10,1,10,21
832,10,3,3,16
833,5,1,10,16
834,3,6,8,17
835,1,5,9,15
836,10,2,1,13
837,8,2,8,18
838,6,5,6,17
839,10,4,4,18
840,8,10,10,28
841,9,10,4,23
842,10,9,2,21
843,7,7,1,15
844,5,7,10,22
845,7,2,3,12
846,10,4,9,23
847,6,10,10,26
848,4,3,10,17
849,10,8,7,25
850,9,2,10,21
851,8,6,3,17
852,7,2,10,19
853,8,10,3,21
854,7,6,2,15
855,4,4,5,13
856,6,10,10,26
857,9,8,3,20
858,1,10,10,21
859,7,1,6,14
860,5,9,9,23
861,2,1,4,7
862,10,10,5,25
863,1,10,5,16
864,1,9,8,18
865,7,10,2,19
866,10,4,3,17
867,5,2,9,16
868,6,6,7,19
869,7,10,2,19
870,5,9,7,21
871,10,6,4,20
872,1,8,1,10
873,5,3,8,16
874,10,4,2,16
875,10,5,9,24
876,10,1,10,21
877,3,6,10,19
878,10,10,10,30
879,3,4,8,15
880,10,2,10,22
881,2,5,9,16
882,6,6,4,16
883,4,3,10,17
884,3,1,7,11
885,10,7,9,26
886,1,10,3,14
887,8,10,10,28
888,10,9,3,22
889,4,5,10,19
890,6,6,1,13
891,9,4,1,14
892,5,8,10,23
893,2,5,8,15
894,10,7,10,27
895,7,8,2,17
896,10,7,6,23
897,10,8,5,23
898,6,7,8,21
899,10,10,2,22
900,2,10,3,15
901,5,3,10,18
902,2,3,7,12
903,10,10,2,22
904,9,1,6,16
905,10,9,1,20
906,5,4,5,14
907,6,1,3,10
908,10,1,10,21
909,10,9,4,23
910,9,7,8,24
911,4,8,4,16
912,5,3,7,15
913,8,10,10,28
914,6,5,5,16
915,9,1,2,12
916,7,10,5,22
917,8,3,10,21
918,10,1,2,13
919,6,9,2,17
920,8,6,10,24
921,10,7,4,21
922,4,10,9,23
923,10,9,10,29
924,4,1,3,8
925,8,1,2,11
926,6,10,3,19
927,7,10,4,21
928,4,10,1,15
929,10,9,10,29
930,10,2,9,21
931,3,7,10,20
932,9,10,5,24
933,2,1,6,9
934,10,8,6,24
935,7,10,3,20
936,1,9,8,18
937,5,8,7,20
938,5,7,2,14
939,4,6,10,20
940,5,1,3,9
941,10,3,6,19
942,4,8,10,22
943,2,4,10,16
944,9,10,1,20
945,5,10,4,19
946,8,6,10,24
947,6,8,9,23
948,6,1,1,8
949,3,4,9,16
950,10,10,3,23
951,10,2,8,20
952,2,10,1,13
953,8,7,10,25
954,9,7,10,26
955,2,5,10,17
956,4,3,7,14
957,5,6,7,18
958,3,10,5,18
959,4,10,2,16
960,10,10,4,24
961,10,7,10,27
962,8,9,10,27
963,3,9,5,17
964,10,7,7,24
965,1,3,1,5
966,9,10,5,24
967,6,10,5,21
968,8,10,6,24
969,9,10,2,21
970,2,2,10,14
971,8,4,6,18
972,6,4,5,15
973,3,3,1,7
974,1,4,2,7
975,7,8,10,25
976,5,10,3,18
977,10,1,10,21
978,7,2,10,19
979,8,4,5,17
980,2,1,4,7
981,10,10,9,29
982,7,8,5,20
983,3,10,10,23
984,2,10,9,21
985,9,9,10,28
986,1,7,3,11
987,2,10,4,16
988,6,1,10,17
989,6,8,5,19
990,3,4,8,15
991,6,6,7,19
992,10,2,9,21
993,1,10,4,15
994,2,10,3,15
995,1,6,3,10
996,1,10,5,16
997,10,10,9,29
998,10,8,9,27
999,6,7,8,21
1000,10,2,5,17
1001,10,2,5,17
1002,4,4,3,11
1003,1,7,10,18
1004,6,7,5,18
1005,7,6,8,21
1006,3,10,9,22
1007,4,10,8,22
1008,10,5,7,22
1009,5,10,10,25
1010,2,6,9,17
1011,6,10,4,20
1012,6,4,4,14
1013,3,7,5,15
1014,10,10,9,29
1015,8,8,10,26
1016,10,4,3,17
1017,10,7,7,24
1018,2,3,10,15
1019,9,5,6,20
1020,10,3,8,21
1021,1,1,2,4
1022,1,8,10,19
1023,2,9,1,12
1024,3,2,10,15
1025,10,2,6,18
1026,10,6,7,23
1027,10,7,9,26
1028,4,10,5,19
1029,1,8,5,14
1030,10,10,3,23
1031,9,9,10,28
1032,4,5,1,10
1033,8,6,10,24
1034,5,3,4,12
1035,6,10,8,24
1036,10,4,2,16
1037,1,1,3,5
1038,2,7,8,17
1039,9,10,7,26
1040,2,9,7,18
1041,6,9,10,25
1042,3,3,10,16
1043,10,3,7,20
1044,4,5,1,10
1045,10,4,1,15
1046,5,6,8,19
1047,10,7,6,23
1048,2,10,10,22
1049,9,10,4,23
1050,5,7,2,14
1051,10,10,1,21
1052,10,2,6,18
1053,3,1,4,8
1054,8,9,8,25
1055,8,5,10,23
1056,5,10,1,16
1057,9,3,5,17
1058,1,4,10,15
1059,10,2,10,22
1060,10,10,10,30
1061,2,1,7,10
1062,6,6,2,14
1063,5,8,9,22
1064,10,5,4,19
1065,2,1,10,13
1066,3,3,7,13
1067,8,9,6,23
1068,6,10,8,24
1069,4,7,3,14
1070,7,8,10,25
1071,4,9,10,23
1072,6,9,10,25
1073,10,4,1,15
1074,3,6,5,14
1075,1,2,10,13
1076,10,2,7,19
1077,8,7,3,18
1078,10,5,8,23
1079,2,1,4,7
1080,1,6,7,14
1081,7,9,3,19
1082,10,10,4,24
1083,9,4,8,21
1084,10,6,5,21
1085,5,3,8,16
1086,10,10,2,22
1087,9,10,10,29
1088,8,10,7,25
1089,10,6,10,26
1090,9,4,7,20
1091,4,3,10,17
1092,1,10,2,13
1093,8,5,5,18
1094,3,1,2,6
1095,10,10,2,22
1096,10,10,7,27
1097,10,9,2,21
1098,4,6,6,16
1099,3,3,5,11
1100,5,9,4,18
1101,1,9,1,11
1102,7,8,8,23
1103,10,10,6,26
1104,3,10,8,21
1105,10,1,7,18
1106,6,10,7,23
1107,3,6,10,19
1108,10,4,1,15
1109,6,9,8,23
1110,4,10,5,19
1111,10,8,7,25
1112,9,2,10,21
1113,3,5,8,16
1114,6,10,5,21
1115,10,9,2,21
1116,7,10,9,26
1117,1,2,10,13
1118,2,5,4,11
1119,1,3,4,8
1120,10,8,2,20
1121,5,3,10,18
1122,8,9,2,19
1123,4,1,1,6
1124,1,10,9,20
1125,10,7,4,21
1126,7,6,4,17
1127,7,3,4,14
1128,10,7,10,27
1129,10,9,6,25
1130,6,3,5,14
1131,8,10,10,28
1132,9,6,10,25
1133,3,2,5,10
1134,10,5,8,23
1135,1,2,10,13
1136,6,8,10,24
1137,6,3,10,19
1138,1,2,3,6
1139,2,5,3,10
1140,8,9,10,27
1141,1,7,7,15
1142,9,10,10,29
1143,4,10,10,24
1144,10,1,4,15
1145,5,10,2,17
1146,10,8,6,24
1147,8,5,4,17
1148,2,10,7,19
1149,3,5,6,14
1150,1,10,7,18
1151,9,4,9,22
1152,10,10,1,21
1153,3,6,4,13
1154,2,10,10,22
1155,3,2,3,8
1156,5,7,4,16
1157,7,10,3,20
1158,8,4,8,20
1159,10,10,4,24
1160,10,9,9,28
1161,6,1,5,12
1162,8,5,5,18
1163,8,2,6,16
1164,7,10,7,24
1165,2,6,9,17
1166,10,10,10,30
1167,1,9,1,11
1168,10,5,6,21
1169,6,7,5,18
1170,6,10,9,25
1171,2,2,4,8
1172,8,1,9,18
1173,7,7,10,24
1174,10,10,1,21
1175,10,6,9,25
1176,5,3,10,18
1177,9,3,10,22
1178,4,2,10,16
1179,1,8,3,12
1180,8,8,2,18
1181,4,5,10,19
1182,10,10,3,23
1183,4,1,7,12
1184,6,5,5,16
1185,10,10,4,24
1186,7,2,3,12
1187,1,7,10,18
1188,9,8,5,22
1189,7,2,6,15
1190,5,10,4,19
1191,4,6,8,18
1192,10,4,10,24
1193,1,8,3,12
1194,9,2,8,19
1195,10,10,10,30
1196,7,3,9,19
1197,1,10,1,12
1198,3,10,9,22
1199,10,2,6,18
1200,1,2,10,13
1201,10,6,8,24
1202,2,5,6,13
1203,3,2,10,15
1204,9,8,10,27
1205,7,1,3,11
1206,10,10,10,30
1207,10,1,10,21
1208,7,4,6,17
1209,7,2,5,14
1210,8,9,7,24
1211,6,3,10,19
1212,4,4,5,13
1213,10,8,10,28
1214,9,3,5,17
1215,1,9,4,14
1216,6,10,10,26
1217,1,3,3,7
1218,7,10,2,19
1219,5,3,4,12
1220,8,6,10,24
1221,7,5,9,21
1222,8,7,1,16
1223,2,10,5,17
1224,6,1,9,16
1225,2,2,4,8
1226,7,8,10,25
1227,10,9,10,29
1228,4,9,8,21
1229,1,10,6,17
1230,4,10,10,24
1231,3,10,5,18
1232,5,10,10,25
1233,6,10,10,26
1234,6,3,7,16
1235,5,5,7,17
1236,2,2,10,14
1237,8,10,6,24
1238,9,3,8,20
1239,1,4,3,8
1240,10,9,8,27
1241,9,4,4,17
1242,5,7,2,14
1243,8,1,4,13
1244,10,1,2,13
1245,3,10,7,20
1246,10,6,10,26
1247,9,1,10,20
1248,4,10,10,24
1249,10,7,5,22
1250,8,6,10,24
1251,7,4,1,12
1252,2,7,9,18
1253,1,5,10,16
1254,3,3,2,8
1255,10,9,3,22
1256,8,6,1,15
1257,2,9,7,18
1258,10,10,8,28
1259,3,5,10,18
1260,6,10,4,20
1261,9,1,10,20
1262,2,8,4,14
1263,5,6,10,21
1264,6,4,9,19
1265,7,4,10,21
1266,10,8,9,27
1267,10,6,5,21
1268,5,1,2,8
1269,1,4,3,8
1270,3,1,7,11
1271,8,7,3,18
1272,10,10,10,30
1273,4,10,2,16
1274,10,9,10,29
1275,1,6,5,12
1276,2,5,10,17
1277,7,10,9,26
1278,8,6,10,24
1279,2,3,8,13
1280,3,1,7,11
1281,4,10,3,17
1282,5,10,8,23
1283,2,2,10,14
1284,6,8,7,21
1285,10,3,9,22
1286,9,7,1,17
1287,9,3,5,17
1288,10,8,1,19
1289,6,10,7,23
1290,6,10,9,25
1291,10,6,10,26
1292,10,4,10,24
1293,4,2,1,7
1294,2,5,8,15
1295,5,4,10,19
1296,10,7,4,21
1297,10,4,10,24
1298,5,4,8,17
1299,2,9,6,17
1300,8,3,7,18
1301,10,9,6,25
1302,10,10,2,22
1303,3,4,6,13
1304,8,5,10,23
1305,5,2,10,17
1306,1,10,10,21
1307,1,2,3,6
1308,3,7,8,18
1309,10,9,10,29
1310,1,5,6,12
1311,7,1,9,17
1312,2,10,1,13
1313,7,2,10,19
1314,9,10,10,29
1315,5,1,10,16
1316,4,9,4,17
1317,10,2,6,18
1318,10,3,5,18
1319,6,10,10,26
1320,8,8,9,25
1321,4,8,1,13
1322,3,10,10,23
1323,7,2,7,16
1324,10,9,7,26
1325,1,3,4,8
1326,6,5,5,16
1327,3,6,8,17
1328,8,4,2,14
1329,1,10,5,16
1330,1,7,10,18
1331,6,8,9,23
1332,4,9,2,15
1333,5,10,10,25
1334,9,10,10,29
1335,3,3,6,12
1336,3,4,4,11
1337,6,1,6,13
1338,1,10,8,19
1339,2,9,7,18
1340,7,8,2,17
1341,3,5,7,15
1342,5,10,10,25
1343,10,10,10,30
1344,3,7,4,14
1345,3,1,10,14
1346,5,9,9,23
1347,9,10,3,22
1348,2,8,10,20
1349,6,8,3,17
1350,7,10,4,21
1351,9,10,1,20
1352,5,5,2,12
1353,4,8,8,20
1354,7,10,10,27
1355,2,1,10,13
1356,7,10,6,23
1357,4,2,10,16
1358,1,6,6,13
1359,5,10,10,25
